게이밍모니터,빈도수
2013-07-28,23
2013-08-04,18
2013-08-11,21
2013-08-18,22
2013-08-25,20
2013-09-01,19
2013-09-08,17
2013-09-15,24
2013-09-22,17
2013-09-29,19
2013-10-06,23
2013-10-13,23
2013-10-20,18
2013-10-27,24
2013-11-03,27
2013-11-10,21
2013-11-17,25
2013-11-24,27
2013-12-01,22
2013-12-08,29
2013-12-15,25
2013-12-22,31
2013-12-29,26
2014-01-05,20
2014-01-12,28
2014-01-19,30
2014-01-26,37
2014-02-02,28
2014-02-09,29
2014-02-16,26
2014-02-23,28
2014-03-02,25
2014-03-09,25
2014-03-16,24
2014-03-23,33
2014-03-30,23
2014-04-06,23
2014-04-13,26
2014-04-20,23
2014-04-27,29
2014-05-04,28
2014-05-11,24
2014-05-18,19
2014-05-25,27
2014-06-01,26
2014-06-08,24
2014-06-15,31
2014-06-22,21
2014-06-29,27
2014-07-06,23
2014-07-13,31
2014-07-20,26
2014-07-27,28
2014-08-03,26
2014-08-10,33
2014-08-17,27
2014-08-24,26
2014-08-31,27
2014-09-07,30
2014-09-14,25
2014-09-21,22
2014-09-28,29
2014-10-05,27
2014-10-12,27
2014-10-19,24
2014-10-26,25
2014-11-02,29
2014-11-09,37
2014-11-16,39
2014-11-23,29
2014-11-30,31
2014-12-07,32
2014-12-14,34
2014-12-21,40
2014-12-28,37
2015-01-04,28
2015-01-11,38
2015-01-18,34
2015-01-25,33
2015-02-01,36
2015-02-08,39
2015-02-15,53
2015-02-22,39
2015-03-01,33
2015-03-08,27
2015-03-15,28
2015-03-22,33
2015-03-29,30
2015-04-05,31
2015-04-12,32
2015-04-19,28
2015-04-26,31
2015-05-03,30
2015-05-10,33
2015-05-17,32
2015-05-24,32
2015-05-31,33
2015-06-07,28
2015-06-14,38
2015-06-21,32
2015-06-28,29
2015-07-05,33
2015-07-12,38
2015-07-19,34
2015-07-26,33
2015-08-02,37
2015-08-09,34
2015-08-16,34
2015-08-23,29
2015-08-30,34
2015-09-06,37
2015-09-13,52
2015-09-20,45
2015-09-27,45
2015-10-04,38
2015-10-11,34
2015-10-18,37
2015-10-25,46
2015-11-01,44
2015-11-08,73
2015-11-15,51
2015-11-22,42
2015-11-29,44
2015-12-06,36
2015-12-13,32
2015-12-20,38
2015-12-27,34
2016-01-03,21
2016-01-10,22
2016-01-17,20
2016-01-24,20
2016-01-31,23
2016-02-07,28
2016-02-14,23
2016-02-21,23
2016-02-28,24
2016-03-06,23
2016-03-13,25
2016-03-20,23
2016-03-27,20
2016-04-03,22
2016-04-10,18
2016-04-17,18
2016-04-24,16
2016-05-01,18
2016-05-08,22
2016-05-15,22
2016-05-22,18
2016-05-29,18
2016-06-05,18
2016-06-12,20
2016-06-19,18
2016-06-26,17
2016-07-03,19
2016-07-10,17
2016-07-17,19
2016-07-24,16
2016-07-31,19
2016-08-07,20
2016-08-14,20
2016-08-21,18
2016-08-28,20
2016-09-04,18
2016-09-11,18
2016-09-18,16
2016-09-25,19
2016-10-02,20
2016-10-09,18
2016-10-16,22
2016-10-23,21
2016-10-30,14
2016-11-06,15
2016-11-13,20
2016-11-20,20
2016-11-27,24
2016-12-04,20
2016-12-11,17
2016-12-18,26
2016-12-25,28
2017-01-01,23
2017-01-08,21
2017-01-15,28
2017-01-22,32
2017-01-29,25
2017-02-05,21
2017-02-12,23
2017-02-19,28
2017-02-26,22
2017-03-05,21
2017-03-12,23
2017-03-19,36
2017-03-26,100
2017-04-02,57
2017-04-09,40
2017-04-16,94
2017-04-23,56
2017-04-30,54
2017-05-07,42
2017-05-14,29
2017-05-21,27
2017-05-28,26
2017-06-04,34
2017-06-11,20
2017-06-18,21
2017-06-25,27
2017-07-02,24
2017-07-09,27
2017-07-16,28
2017-07-23,32
2017-07-30,75
2017-08-06,44
2017-08-13,78
2017-08-20,43
2017-08-27,37
2017-09-03,26
2017-09-10,26
2017-09-17,25
2017-09-24,26
2017-10-01,30
2017-10-08,24
2017-10-15,22
2017-10-22,19
2017-10-29,20
2017-11-05,21
2017-11-12,22
2017-11-19,17
2017-11-26,15
2017-12-03,21
2017-12-10,20
2017-12-17,16
2017-12-24,21
2017-12-31,17
2018-01-07,17
2018-01-14,17
2018-01-21,14
2018-01-28,14
2018-02-04,18
2018-02-11,15
2018-02-18,14
2018-02-25,15
2018-03-04,17
2018-03-11,18
2018-03-18,15
2018-03-25,13
2018-04-01,18
2018-04-08,17
2018-04-15,11
2018-04-22,12
2018-04-29,13
2018-05-06,14
2018-05-13,18
2018-05-20,14
2018-05-27,15
2018-06-03,16
2018-06-10,15
2018-06-17,16
2018-06-24,14
2018-07-01,15
2018-07-08,17
2018-06-24,14
2018-07-01,15
2018-07-08,17
